company_name,profile_url,overall_rating,total_reviews,industry,description,scraped_at,rating_job_security,rating_work_life_balance,rating_salary,rating_work_satisfaction,rating_promotions,rating_skill_development,rating_company_culture,rating_management
Bajaj Finserv,https://www.ambitionbox.com/overview/bajaj-finserv-overview,4.0,13100,NBFC(Financial Services) | Banking / Insurance / Accounting | FinTech | TopNBFCCompanies in India | NBFC sector,"Get an inside look of Bajaj Finserv — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:32,3.6,3.6,3.8,3.6,N/A,3.8,3.6,N/A
Flipkart,https://www.ambitionbox.com/overview/flipkart-overview,3.9,13000,Internet | Retail | TopInternetCompanies in India | Internet sector,"Get an inside look of Flipkart — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:36,3.7,3.7,3.7,3.3,N/A,3.7,3.7,N/A
PwC,https://www.ambitionbox.com/overview/pwc-overview,3.3,12600,Management Consulting | Accounting & Auditing(Accounting  |  Auditing) | Management Consulting sector,"Get an inside look of PwC — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:40,3.0,3.0,3.4,2.8,N/A,3.3,3.0,N/A
Mahindra & Mahindra,https://www.ambitionbox.com/overview/mahindra-and-mahindra-overview,4.0,12100,Automobile | Industrial Machinery | Retail | Urban Transport | TopAutomobileCompanies in India,"Get an inside look of Mahindra & Mahindra — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:44,3.8,3.8,4.0,3.7,N/A,3.8,3.8,N/A
Infosys BPM,https://www.ambitionbox.com/overview/infosys-bpm-overview,3.5,12100,BPO | Financial Services | BPO sector,"Get an inside look of Infosys BPM — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:47,3.5,3.6,4.1,2.7,N/A,3.3,3.5,N/A
HDFC Life,https://www.ambitionbox.com/overview/hdfc-life-overview,12.1,12100,Insurance sector,"Get an inside look of HDFC Life — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:50,4.0,N/A,4.0,N/A,4.0,N/A,4.0,N/A
DXC Technology,https://www.ambitionbox.com/overview/dxc-technology-overview,3.6,12000,IT Services & Consulting | IT Services & Consulting sector,"Get an inside look of DXC Technology — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:55,3.8,3.5,3.6,3.0,5.0,3.4,3.5,N/A
Bandhan Bank,https://www.ambitionbox.com/overview/bandhan-bank-overview,3.7,11200,Banking(Financial Services) | Financial Services | Banking sector,"Get an inside look of Bandhan Bank — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:00,3.6,3.5,3.7,3.2,N/A,3.4,3.5,N/A
Digitide Solutions,https://www.ambitionbox.com/overview/conneqt-business-solutions-overview,3.5,10400,IT Services & Consulting | BPO/KPO | IT Services & Consulting sector,"Get an inside look of Digitide Solutions — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:05,3.4,3.4,3.4,3.0,N/A,3.3,3.2,N/A
Mphasis,https://www.ambitionbox.com/overview/mphasis-overview,3.3,10300,IT Services & Consulting | Financial Services | Hardware & Networking | Insurance(InsurTech  |  Financial Services  |  FinTech) | IT Services & Consulting sector,"Get an inside look of Mphasis — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:28:11,3.5,3.4,3.4,2.7,N/A,3.1,3.2,1.0
